央视频道,#genre#
梅州导视,http://119.125.134.181:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
欢笑剧场,http://119.125.134.181:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&authid=0
每天影院,http://119.125.134.181:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
求索,http://119.125.134.181:9901/tsfile/live/1094_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://119.125.104.17:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://119.125.134.251:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://119.125.104.126:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
电影,http://119.125.134.181:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
电影,http://119.125.134.181:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
相声小品,http://119.125.104.17:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
相声小品,http://119.125.104.126:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
经济科教,http://119.125.134.181:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://119.125.134.251:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://119.125.134.181:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://119.125.104.126:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
蕉岭综合,http://119.125.134.181:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
谍战剧场,http://119.125.104.17:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://119.125.104.17:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://119.125.134.181:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://119.125.104.126:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.125.134.251:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.125.134.181:9901/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.125.104.17:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.125.104.126:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://119.125.104.17:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://119.125.104.126:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://119.125.104.17:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://119.125.104.126:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
